action, category, format, fullname, guest, idnumber, lang, maxbytes, metacourse, newsitems, notifystudents, numsections,password,shortname, showgrades, showreports, sortorder, startdate, summary,timecreated, visible, link
create, Miscellaneous, topics, Sample Course 0, yes, idnumber0 , en_utf8, 32767, no, 5, yes, 5,password,course0, 1, yes, 0, 03/01/2010, This is sample course 0 ,06/23/2010, yes,ABEN 100 Gettin
create, Miscellaneous, topics, Sample Course 1, yes, idnumber1 , en_utf8, 32767, no, 5, yes, 5,password,course1, 1, yes, 1, 03/01/2010, This is sample course 1 ,06/23/2010, yes,sm1
create, Miscellaneous, topics, Sample Course 2, yes, idnumber2 , en_utf8, 32767, no, 5, yes, 5,password,course2, 1, yes, 2, 03/01/2010, This is sample course 2 ,06/23/2010, yes,CF101
create, Miscellaneous, topics, Sample Course 3, yes, idnumber3 , en_utf8, 32767, no, 5, yes, 5,password,course3, 1, yes, 3, 03/01/2010, This is sample course 3 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 4, yes, idnumber4 , en_utf8, 32767, no, 5, yes, 5,password,course4, 1, yes, 4, 03/01/2010, This is sample course 4 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 5, yes, idnumber5 , en_utf8, 32767, no, 5, yes, 5,password,course5, 1, yes, 5, 03/01/2010, This is sample course 5 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 6, yes, idnumber6 , en_utf8, 32767, no, 5, yes, 5,password,course6, 1, yes, 6, 03/01/2010, This is sample course 6 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 7, yes, idnumber7 , en_utf8, 32767, no, 5, yes, 5,password,course7, 1, yes, 7, 03/01/2010, This is sample course 7 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 8, yes, idnumber8 , en_utf8, 32767, no, 5, yes, 5,password,course8, 1, yes, 8, 03/01/2010, This is sample course 8 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 9, yes, idnumber9 , en_utf8, 32767, no, 5, yes, 5,password,course9, 1, yes, 9, 03/01/2010, This is sample course 9 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 10, yes, idnumber10 , en_utf8, 32767, no, 5, yes, 5,password,course10, 1, yes, 10, 03/01/2010, This is sample course 10 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 11, yes, idnumber11 , en_utf8, 32767, no, 5, yes, 5,password,course11, 1, yes, 11, 03/01/2010, This is sample course 11 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 12, yes, idnumber12 , en_utf8, 32767, no, 5, yes, 5,password,course12, 1, yes, 12, 03/01/2010, This is sample course 12 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 13, yes, idnumber13 , en_utf8, 32767, no, 5, yes, 5,password,course13, 1, yes, 13, 03/01/2010, This is sample course 13 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 14, yes, idnumber14 , en_utf8, 32767, no, 5, yes, 5,password,course14, 1, yes, 14, 03/01/2010, This is sample course 14 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 15, yes, idnumber15 , en_utf8, 32767, no, 5, yes, 5,password,course15, 1, yes, 15, 03/01/2010, This is sample course 15 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 16, yes, idnumber16 , en_utf8, 32767, no, 5, yes, 5,password,course16, 1, yes, 16, 03/01/2010, This is sample course 16 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 17, yes, idnumber17 , en_utf8, 32767, no, 5, yes, 5,password,course17, 1, yes, 17, 03/01/2010, This is sample course 17 ,06/23/2010, yes,
